City,Latitude,Longitude,Max Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),Country,Date
Steinbach am Taunus,50.17,8.57,35.6,100,75,5.82,DE,1606865120
Mandera,3.94,41.87,83.43,46,22,11.45,KE,1606865121
Ribas do Rio Pardo,-20.44,-53.76,70.81,92,100,3.89,BR,1606865121
Baykit,61.67,96.37,-7.44,86,70,2.66,RU,1606865121
Havre-St-Pierre,50.23,-63.6,42.8,100,90,11.41,CA,1606865121
Bonga,7.28,36.23,57.92,88,95,2.06,ET,1606865121
Asău,46.43,26.4,28.4,86,54,4.7,RO,1606865121
Pithoro,25.52,69.38,65.88,24,56,5.26,PK,1606865121
Porto Santo,33.07,-16.34,64.4,82,40,16.11,PT,1606865121
Vallenar,-28.57,-70.76,69.67,49,0,6.22,CL,1606865121
Snåase,64.25,12.38,26.1,94,52,4.7,NO,1606865121
Daru,-9.08,143.21,83.73,80,100,10.69,PG,1606865121
Cabo San Lucas,22.89,-109.91,75.99,56,5,4.7,MX,1606865121
Alpena,45.06,-83.43,32.0,81,1,16.11,US,1606864846
Portland,45.52,-122.68,50.0,70,1,5.82,US,1606864606
Gambiran,-6.8,111.5,75.06,89,88,2.21,ID,1606865121
Road Town,18.42,-64.62,78.01,78,20,1.12,VG,1606865121
San Quintín,30.48,-115.95,68.63,40,0,8.86,MX,1606865121
Ancud,-41.87,-73.82,55.0,93,90,10.29,CL,1606865121
Nangomba,-10.9,38.5,75.43,82,55,7.14,TZ,1606865121
Mulanje,-16.03,35.5,75.16,65,94,4.81,MW,1606865121
Codrington,-38.27,141.97,56.7,58,44,14.88,AU,1606865121
Chifeng,42.27,118.96,5.52,84,15,4.97,CN,1606864837
Ystad,55.43,13.82,39.2,80,90,4.7,SE,1606865122
Valparaíso,-33.04,-71.63,61.0,76,20,3.36,CL,1606865122
Conway,35.09,-92.44,46.99,45,1,6.93,US,1606864849
Santa Helena,-2.23,-45.3,75.25,95,87,2.42,BR,1606865122
Goderich,43.75,-81.72,32.0,94,100,19.46,CA,1606865122
Santoña,43.44,-3.46,55.99,76,90,8.05,ES,1606865122
Port Hardy,50.7,-127.42,44.6,75,75,6.93,CA,1606865122
Leiyang,26.4,112.86,45.7,80,100,6.22,CN,1606865122
Abhā,18.22,42.51,55.4,87,0,4.5,SA,1606865122
Labuan,5.28,115.24,77.0,94,20,5.99,MY,1606865122
Miyang,24.4,103.44,49.93,85,77,3.44,CN,1606865122
College,64.86,-147.8,35.6,79,75,6.93,US,1606865122
Atar,20.52,-13.05,76.77,23,100,4.16,MR,1606865122
Namwala,-15.75,26.44,70.9,83,34,2.04,ZM,1606865122
Douglas,41.3,-96.17,44.6,41,1,6.93,US,1606865122
Kununurra,-15.77,128.73,77.0,100,90,11.41,AU,1606865122
Port Lincoln,-34.73,135.87,57.33,58,96,7.76,AU,1606865122
Isangel,-19.55,169.27,84.2,62,75,9.17,VU,1606865122
Mandiana,10.63,-8.68,75.96,28,13,2.91,GN,1606865123
Padang,-0.95,100.35,75.67,67,6,4.29,ID,1606865123
Plouzané,48.38,-4.62,46.4,75,0,4.7,FR,1606865123
Mormugao,15.4,73.8,77.0,73,20,6.93,IN,1606865123
Altay,47.87,88.12,11.91,65,0,4.43,CN,1606865123
Saint-Joseph,-21.37,55.62,77.0,78,75,3.36,RE,1606865123
Kosh-Agach,50.0,88.67,-16.28,83,19,0.92,RU,1606865123
Atambua,-9.11,124.89,80.89,69,26,0.85,ID,1606865123
Calabar,4.95,8.32,77.29,90,48,1.79,NG,1606865123
Mae Sai,20.43,99.88,57.2,100,57,2.24,TH,1606865123
Monte Alegre de Minas,-18.87,-48.88,80.6,47,20,6.93,BR,1606865123
Raton,36.9,-104.44,30.2,80,90,25.28,US,1606865123
Cidreira,-30.18,-50.21,69.21,78,37,17.9,BR,1606865123
Amuntai,-2.42,115.25,75.36,95,100,0.67,ID,1606865123
Chingirlau,51.09,54.08,-0.33,92,0,9.46,KZ,1606865123
Manakara,-22.13,48.02,75.45,76,15,10.25,MG,1606865123
Togur,58.36,82.83,4.41,95,95,5.03,RU,1606865123
Kyzyl-Suu,42.34,78.01,26.62,80,99,5.79,KG,1606865123
Maţāy,28.42,30.78,56.53,71,64,3.49,EG,1606865123
Langsa,4.47,97.97,75.0,95,100,2.55,ID,1606865124
Talavera de la Reina,39.96,-4.83,45.19,61,70,1.95,ES,1606865124
Greenwood,34.17,-82.12,39.0,47,1,8.05,US,1606865124
Chinsali,-10.54,32.08,65.62,88,100,2.59,ZM,1606865124
Vammala,61.33,22.9,36.0,93,90,5.82,FI,1606865124
Kiunga,-6.12,141.29,81.39,81,87,0.22,PG,1606865124
Cockburn Town,21.46,-71.14,79.0,64,14,7.72,TC,1606865124
Ozernovskiy,51.5,156.52,22.73,93,36,7.81,RU,1606865124
Ugoofaaru,5.67,73.0,82.27,76,100,8.23,MV,1606865124
Chui,-33.7,-53.46,63.27,78,86,9.69,UY,1606865124
Borogontsy,62.67,131.17,-17.97,88,100,5.35,RU,1606865124
Mounds View,45.1,-93.21,33.01,54,40,4.7,US,1606864961
Saint-Augustin,51.23,-58.65,38.26,96,100,7.09,CA,1606865124
Novobirilyussy,56.95,90.67,6.67,94,100,6.35,RU,1606865124
Qandala,11.47,49.87,77.22,75,14,4.14,SO,1606865124
Lorengau,-2.02,147.27,84.61,73,81,7.31,PG,1606865124
Mozarlândia,-14.74,-50.57,83.46,45,65,5.86,BR,1606865124
Srednekolymsk,67.45,153.68,-14.31,83,20,3.58,RU,1606865124
Tiznit Province,29.58,-9.5,63.01,37,0,8.05,MA,1606865125
Straumen,63.87,11.3,43.0,64,0,21.92,NO,1606865125
Bay Roberts,47.6,-53.26,42.01,86,90,25.28,CA,1606865125
Aktau,43.65,51.2,28.4,68,90,20.13,KZ,1606865125
Hastings,50.86,0.57,42.01,10,19,28.99,GB,1606865125
Taiyuan,37.87,112.56,30.2,100,90,4.47,CN,1606865125
Tutóia,-2.76,-42.27,79.83,84,100,13.0,BR,1606865125
Ushtobe,45.25,77.98,13.6,87,86,7.07,KZ,1606865125
Inuvik,68.35,-133.72,3.2,84,100,3.36,CA,1606865125
Preobrazheniye,42.9,133.91,20.77,82,0,5.61,RU,1606865125
Nichinan,31.6,131.37,48.2,76,75,6.93,JP,1606865125
Shamary,57.34,58.22,8.4,89,2,2.39,RU,1606865125
Chapadinha,-3.74,-43.36,75.49,91,96,3.67,BR,1606865125
Eyl,7.98,49.82,76.41,81,8,12.55,SO,1606865125
Briançon,44.9,6.65,36.0,86,88,5.37,FR,1606865125
Atasū,48.68,71.64,4.87,87,9,9.89,KZ,1606865125
Niono,14.25,-5.99,80.89,17,0,9.46,ML,1606865125
Kitimat,54.05,-128.65,42.01,92,100,2.48,CA,1606865125
Magadan,59.57,150.8,10.76,91,55,4.23,RU,1606865125
Beringovskiy,63.05,179.32,-0.65,93,97,9.78,RU,1606865125
Arlit,18.74,7.39,76.19,19,5,4.94,NE,1606865126
Katobu,-4.94,122.53,80.04,83,100,1.88,ID,1606865126
Guerrero Negro,27.98,-114.06,73.45,22,0,10.67,MX,1606865126
Wagar,16.15,36.2,68.31,75,0,10.07,SD,1606865126
Boa Vista,2.82,-60.67,82.4,74,75,3.36,BR,1606864908
Sabzawār,36.21,57.68,48.49,60,36,0.34,IR,1606865126
Namatanai,-3.67,152.43,84.36,64,86,5.19,PG,1606865126
Thinadhoo,0.53,72.93,81.99,73,100,11.86,MV,1606865126
Hue,16.47,107.6,73.4,83,75,13.87,VN,1606865126
Sulangan,11.14,123.72,83.1,77,100,8.9,PH,1606865126
Wamba,8.93,8.6,75.24,20,0,4.63,NG,1606865075
Usinsk,65.99,57.53,22.95,97,100,23.33,RU,1606865126
Lovozero,68.0,35.01,25.25,97,100,7.52,RU,1606865126
Zyryanka,65.75,150.85,-13.95,83,45,9.19,RU,1606865126
Kragujevac,44.02,20.92,23.0,100,0,1.12,RS,1606865022
Saraland,30.82,-88.07,46.99,67,0,2.53,US,1606865126
Água Branca,-5.89,-42.64,79.63,56,58,2.21,BR,1606865126
Norman Wells,65.28,-126.83,6.8,92,20,3.36,CA,1606865126
Buraidah,26.33,43.98,60.8,100,40,6.93,SA,1606864921
Marawi,8.0,124.29,77.0,90,100,5.01,PH,1606865127
Narāyangarh,30.48,77.13,55.92,50,0,1.14,IN,1606865127
Bambanglipuro,-7.95,110.28,76.82,83,100,3.24,ID,1606865127
Bonavista,48.65,-53.11,39.99,80,100,6.93,CA,1606865127
Uyuni,-20.46,-66.83,63.73,30,29,10.56,BO,1606865127
Pangkalanbuun,-2.68,111.62,75.18,96,98,2.33,ID,1606865127
Denpasar,-8.65,115.22,77.0,83,20,1.12,ID,1606865127
Lavrentiya,65.58,-171.0,9.03,90,0,13.51,RU,1606865127
Bud,39.45,-86.18,32.0,93,90,5.82,US,1606865127
Carutapera,-1.2,-46.02,77.94,86,86,7.18,BR,1606865127
Teguise,29.06,-13.56,68.0,77,20,10.29,ES,1606865127
Caravelas,-17.71,-39.25,76.42,84,43,8.75,BR,1606865127
Naryan-Mar,67.67,53.09,27.16,96,100,22.84,RU,1606865127
Hearst,49.68,-83.67,10.4,85,0,4.7,CA,1606865128
Yangi Marg`ilon,40.43,71.72,33.8,86,100,4.7,UZ,1606865128
Romny,50.75,33.47,30.0,98,100,10.6,UA,1606865128
Killarney,52.05,-9.52,47.64,91,53,3.71,IE,1606865128
Faya,18.39,42.45,55.4,87,0,3.67,SA,1606865128
Bairiki Village,1.33,172.98,86.0,66,75,11.41,KI,1606865128
Poya,-21.35,165.15,81.93,45,0,4.07,NC,1606865128
Kodinsk,58.69,99.18,0.12,91,83,4.63,RU,1606865128
Bulawayo,-20.15,28.58,70.34,65,26,3.06,ZW,1606865128
Ostrovnoy,68.05,39.51,28.63,97,94,17.83,RU,1606865128
Vila Franca do Campo,37.72,-25.43,60.8,82,40,26.4,PT,1606865128
Gorontalo,0.54,123.06,79.11,82,91,1.45,ID,1606865128
Pasni,25.26,63.47,74.01,42,12,5.66,PK,1606865128
Katherine,-14.47,132.27,86.0,62,40,4.7,AU,1606865128
Juneau,58.3,-134.42,46.4,87,90,29.97,US,1606865128
Assiut,27.18,31.18,55.4,62,0,3.36,EG,1606864942
Olafsvik,64.89,-23.71,36.19,91,95,10.54,IS,1606865128
Conde,-7.26,-34.91,78.8,83,20,11.41,BR,1606864855
Apsheronsk,44.46,39.73,40.95,69,40,2.19,RU,1606865128
Lagoa da Prata,-20.02,-45.54,74.64,78,63,0.51,BR,1606865129
Novyye Burasy,52.13,46.07,4.01,94,0,6.85,RU,1606865129
Monywa,22.12,95.13,66.18,83,34,4.12,MM,1606865129
Province of Trapani,37.83,12.67,63.0,87,40,9.17,IT,1606865129
Arrondissement de Saint-Denis,48.92,2.33,45.0,81,90,11.41,FR,1606865129
Hamilton,39.18,-84.53,33.01,68,90,11.41,US,1606864849
Departamento de Maldonado,-34.67,-54.92,73.4,49,0,8.05,UY,1606865129
San Luis Río Colorado,32.46,-114.78,75.2,8,1,13.87,MX,1606865129
Puerto Madero,14.72,-92.42,84.2,79,5,5.82,MX,1606865129
Cheremnoye,53.17,83.21,1.4,77,90,3.0,RU,1606865129
Tautira,-17.73,-149.15,84.2,62,40,5.82,PF,1606865129
Vawkavysk,53.16,24.45,21.67,96,0,6.93,BY,1606865129
Dicabisagan,17.08,122.42,78.06,85,100,15.46,PH,1606865129
Fairbanks,64.84,-147.72,35.6,59,75,2.24,US,1606865129
Aden,12.78,45.04,78.44,77,6,13.8,YE,1606865129
Yaqui,27.37,-110.17,82.4,18,5,10.29,MX,1606865129
Löningen,52.73,7.77,41.0,93,90,5.82,DE,1606865129
Hopelchén,19.77,-89.85,75.2,60,75,11.41,MX,1606865129
Karratha,-20.74,116.85,89.35,25,0,5.82,AU,1606865129
Belyy Yar,53.6,91.39,5.0,84,40,4.47,RU,1606865130
Fuerte Olimpo,-21.04,-57.87,84.29,63,78,2.98,PY,1606865130
Aksha,50.28,113.29,10.04,89,32,8.08,RU,1606865130
Geraldton,-28.77,114.6,57.2,67,0,12.75,AU,1606864908
Navolato,24.77,-107.69,84.2,30,20,9.17,MX,1606865130
Hvide Sande,56.0,8.13,41.0,76,100,10.49,DK,1606865130
Hong Kong,22.29,114.16,64.0,74,18,9.19,HK,1606865061
Port Hawkesbury,45.62,-61.35,52.0,87,90,19.46,CA,1606865130
Rafrāf,37.19,10.18,51.8,87,40,6.17,TN,1606865130
San Carlos,9.66,-68.58,76.23,89,100,1.95,VE,1606865130
Ganzhou,28.82,115.43,48.0,78,100,4.5,CN,1606865130
Walvis Bay,-22.96,14.51,57.0,87,0,2.24,NA,1606865130
Gilgit,35.92,74.31,38.98,61,5,3.2,PK,1606865130
Billings Metropolitan Area,45.78,-108.5,39.0,37,75,13.87,US,1606864805
Dongsheng,39.82,109.98,12.42,92,100,14.38,CN,1606865130
Hatillo,18.49,-66.83,78.8,74,75,6.93,PR,1606865130
Corn Island,12.17,-83.04,81.18,78,93,16.33,NI,1606865130
Northport,33.23,-87.58,46.4,33,1,3.2,US,1606865130
Fergus Falls,46.28,-96.08,33.8,69,1,3.36,US,1606864865
Kushnarenkovo,55.1,55.35,10.4,92,90,2.24,RU,1606865131
Nuuk,64.18,-51.72,21.2,73,75,5.82,GL,1606864944
Roald,62.58,6.13,46.4,49,100,16.11,NO,1606865131
Lucea,18.45,-78.17,80.6,74,20,5.82,JM,1606865131
Talnakh,69.49,88.4,26.6,100,90,24.61,RU,1606865131
Saryg-Sep,51.5,95.6,-0.2,90,97,1.19,RU,1606865131
Hasaki,35.73,140.83,48.2,76,75,9.17,JP,1606865130
São João da Barra,-21.64,-41.05,75.76,89,91,6.22,BR,1606865131
Khuzdar,27.74,66.64,51.04,39,0,2.59,PK,1606865131
Auki,-8.77,160.7,85.05,68,94,3.74,SB,1606865131
Balkanabat,39.51,54.37,42.17,64,0,2.75,TM,1606865131
Roshchino,60.25,29.61,37.0,88,100,13.47,RU,1606865131
Meulaboh,4.14,96.13,76.46,88,68,3.78,ID,1606865131
Christchurch,-43.53,172.63,64.0,67,100,5.82,NZ,1606865124
São Miguel do Araguaia,-13.28,-50.16,81.45,45,25,6.38,BR,1606865131
Taku,39.02,117.65,30.2,80,40,4.47,CN,1606865131
Āsosa,10.07,34.53,66.4,44,15,4.56,ET,1606865131
Ruteng,-8.61,120.47,67.48,100,94,0.54,ID,1606865131
Hualmay,-11.1,-77.61,67.59,79,70,9.37,PE,1606865131
The Pas,53.83,-101.25,33.8,80,90,14.99,CA,1606865131
Kedrovyy,56.17,91.82,10.4,85,40,6.71,RU,1606865131
Poum,-20.23,164.02,76.95,69,2,21.3,NC,1606865131
Macusani,-14.08,-70.43,40.53,79,100,5.37,PE,1606865132
Talas,38.69,35.55,30.2,100,40,1.12,TR,1606865132
Khovd,48.01,91.64,7.03,84,0,1.12,MN,1606865132
Mahenge,-8.68,36.72,65.93,100,95,1.77,TZ,1606865132
Matai,-8.3,31.52,59.83,88,95,2.19,TZ,1606865132
Bayan,46.08,127.4,-0.15,92,15,6.49,CN,1606865132
Hofn,64.25,-15.21,40.51,69,17,39.5,IS,1606865132
Egvekinot,66.32,-179.17,-2.22,88,0,7.05,RU,1606865132
Mehamn,71.04,27.85,32.0,90,40,19.46,NO,1606865132
Marsh Harbour,26.54,-77.06,67.28,71,7,21.85,BS,1606865132
Payo,-3.75,103.64,71.24,86,82,2.13,ID,1606865132
Tamandaré,-8.76,-35.1,77.68,80,35,7.4,BR,1606865132
Orsha,54.52,30.41,26.1,96,97,4.29,BY,1606865132
Bayonet Point,28.33,-82.68,52.0,84,0,8.34,US,1606865132
Roebourne,-20.78,117.13,88.65,30,0,5.79,AU,1606865132
Grand Island,40.92,-98.34,39.99,44,1,3.36,US,1606865132
Garachiné,8.06,-78.36,78.06,86,98,8.21,PA,1606865132
Okha,53.57,142.95,10.99,94,75,18.37,RU,1606865133
Noumea,-22.28,166.46,82.99,48,0,12.75,NC,1606864892
Bekhtery,46.25,32.29,40.17,77,100,9.24,UA,1606865133
Mbandaka,0.05,18.26,74.44,67,16,1.63,CD,1606865133
Rapid City,44.08,-103.23,35.01,69,90,33.33,US,1606864934
Curup,-3.47,102.53,66.16,71,85,1.32,ID,1606865133
Enzan,35.7,138.73,46.99,71,4,0.34,JP,1606865133
Yaan,7.38,8.57,78.44,29,1,2.53,NG,1606865133
Missoula,47.02,-113.8,39.2,44,90,13.87,US,1606865133
Tambopata,-12.73,-69.18,77.0,88,75,1.12,PE,1606865133
Dossor,47.53,52.98,15.8,87,0,12.68,KZ,1606865133
Zeya,53.75,127.27,-3.86,90,14,0.25,RU,1606865133
Rayong,12.83,101.43,75.99,73,40,6.93,TH,1606865133
Vao,-22.67,167.48,73.29,70,1,11.54,NC,1606865133
Tres Arroyos,-38.37,-60.28,76.08,27,0,11.7,AR,1606864834
Rüdesheim an der Nahe,49.85,7.82,37.0,97,99,5.01,DE,1606865133
Chunskiy,56.08,99.63,9.12,95,100,4.92,RU,1606865133
Rogaška Slatina,46.24,15.64,30.2,86,100,3.36,SI,1606865134
Kidal,18.44,1.41,76.03,20,81,8.41,ML,1606865134
Aksu,41.12,80.26,22.69,86,100,5.1,CN,1606865134
Abay,49.63,72.85,-4.0,70,0,17.9,KZ,1606865134
Olinda,-8.01,-34.86,78.8,69,40,12.75,BR,1606864876
San Mateo,37.45,-122.35,64.99,63,5,3.36,US,1606865134
Pacific Grove,36.62,-121.92,60.01,54,1,9.35,US,1606864990
Ubinskoye,55.31,79.68,-0.36,91,0,6.62,RU,1606865134
Lashio,22.93,97.75,53.04,98,0,1.07,MM,1606865134
Krasnyy Chikoy,50.36,108.75,9.14,92,100,5.57,RU,1606865134
Pakdasht,35.48,51.68,48.2,81,75,3.83,IR,1606865134
Velikiy Ustyug,60.76,46.31,24.35,96,100,9.08,RU,1606865134
Ormara,25.21,64.64,75.33,43,82,6.2,PK,1606865134
Gaza,31.5,34.47,57.2,76,0,3.36,PS,1606865134
Frontera,26.93,-101.45,72.0,22,0,7.0,MX,1606865134
Abu Dhabi,24.47,54.37,69.8,83,0,1.12,AE,1606864922
Sur,22.57,59.53,71.15,81,0,3.24,OM,1606865134
Sabang,5.89,95.32,81.73,74,97,5.03,ID,1606865134
Urdoma,61.75,48.54,23.0,96,100,9.01,RU,1606865135
Ambon City,-3.7,128.18,78.8,88,20,4.7,ID,1606865135
Nouakchott,18.09,-15.98,73.4,69,0,10.29,MR,1606865135
Palamós,41.85,3.13,48.99,30,98,23.29,ES,1606865135
Vestmannaeyjar,63.44,-20.27,40.06,71,100,29.64,IS,1606865135
Upata,8.01,-62.4,84.0,77,95,4.0,VE,1606865135
Mizdah,31.45,12.98,53.96,56,0,3.11,LY,1606864942
Sistranda,63.73,8.83,35.6,80,0,19.46,NO,1606865135
Åmot,59.57,7.99,24.01,88,78,1.43,NO,1606865135
Chapais,49.78,-74.85,28.4,92,90,19.46,CA,1606865135
Manbij,36.53,37.95,48.2,93,75,10.22,SY,1606865135
Beloha,-25.17,45.05,68.61,93,36,2.55,MG,1606865135
Anori,-3.77,-61.64,81.23,71,68,2.62,BR,1606865135
Konch,25.98,79.15,61.32,35,80,4.63,IN,1606865135
Berlevåg,70.86,29.09,32.0,68,20,24.16,NO,1606865135
Jacareacanga,-6.22,-57.75,78.17,74,61,0.67,BR,1606865135
Maceió,-9.67,-35.74,77.0,78,0,9.17,BR,1606865135
Pemberton,50.32,-122.8,42.01,73,20,0.98,CA,1606865136
Mlonggo,-6.53,110.7,77.0,94,20,5.82,ID,1606864911
Samoded,63.61,40.51,29.77,97,99,12.1,RU,1606865136
Muyezerskiy,63.93,31.65,32.29,97,99,9.37,RU,1606865136
Niamey,13.51,2.11,78.8,24,0,8.23,NE,1606865028
Tanete,-3.94,119.78,80.01,78,37,3.02,ID,1606865136
Kamina,-8.74,24.99,64.71,99,100,3.67,CD,1606865136
Sun City West,33.66,-112.34,72.0,14,1,10.29,US,1606865136
Houma,29.6,-90.72,53.01,53,1,4.7,US,1606865136
Khāmgaon,20.68,76.57,65.97,62,1,2.91,IN,1606865136
Kathmandu,27.72,85.32,46.4,100,20,1.74,NP,1606865087
Aracataca,10.59,-74.19,75.99,80,100,3.02,CO,1606864862
Matara,5.95,80.54,75.38,90,100,9.1,LK,1606865136
Filingué,14.35,3.32,79.79,17,0,7.16,NE,1606865136
Leningradskiy,69.38,178.42,-4.47,85,0,4.09,RU,1606865136
Bonfim,3.08,-59.95,82.27,70,20,4.85,BR,1606865136
